ward,acs_year,households_under_25k,households_25k_to_50k,households_50k_to_75k,households_75k_to_125k,households_125k_plus,households_total,pct_households_125k_plus,median_household_income_est
1,2023,721,943,760,1721,6677,10822,61.7,148701
2,2023,482,627,613,1250,7494,10466,71.6,162714
3,2023,1820,1545,994,1772,4431,10562,42.0,101016
4,2023,1728,1288,950,1639,4573,10178,44.9,109259
5,2023,1584,1359,1134,1665,2861,8603,33.3,81742
6,2023,2504,2407,1468,1779,1505,9663,15.6,49174
7,2023,2044,2034,1250,1677,1609,8614,18.7,54580
8,2023,2120,2031,1940,2447,2326,10864,21.4,66508
9,2023,2647,2477,1609,2733,1396,10862,12.9,54770
10,2023,2330,2925,2347,2963,2172,12737,17.1,61861
11,2023,1887,2392,1593,2587,4214,12673,33.3,83978
12,2023,2097,3205,1962,2404,1923,11591,16.6,56288
13,2023,1018,2112,2248,3056,3652,12086,30.2,85880
14,2023,1459,2911,2138,2785,2543,11836,21.5,68101
15,2023,1681,2139,1514,1365,941,7640,12.3,50000
16,2023,2455,2498,1766,1620,1164,9503,12.2,47983
17,2023,2244,2504,1577,1932,1467,9724,15.1,51807
18,2023,1467,1878,2632,3971,3474,13422,25.9,84242
19,2023,694,880,882,2719,7207,12382,58.2,142622
20,2023,2980,2986,1637,1797,1049,10449,10.0,43792
21,2023,2260,2557,2327,2798,2420,12362,19.6,64654
22,2023,1882,3328,1850,2023,1306,10389,12.6,49884
23,2023,863,2676,2097,3391,3855,12882,29.9,86870
24,2023,2383,2257,1411,1702,906,8659,10.5,46561
25,2023,1370,2109,1468,2323,3970,11240,35.3,89486
26,2023,1441,1868,1406,2067,2585,9367,27.6,74440
27,2023,1891,2116,1305,1821,6352,13485,47.1,114278
28,2023,3777,2697,2019,1865,1923,12281,15.7,46909
29,2023,2299,2799,2399,2824,2979,13300,22.4,66173
30,2023,1204,2192,1926,2739,2880,10941,26.3,77711
31,2023,1113,2050,1600,3103,2838,10704,26.5,84491
32,2023,561,485,646,1530,9342,12564,74.4,165944
33,2023,845,1721,1885,2837,4714,12002,39.3,102318
34,2023,2000,2082,1570,2374,2287,10313,22.2,67110
35,2023,1291,2301,1543,2326,3576,11037,32.4,83244
36,2023,1005,2578,2042,3286,2849,11760,24.2,78880
37,2023,2662,3080,2025,2257,1869,11893,15.7,52525
38,2023,887,1598,2184,3886,6045,14600,41.4,108852
39,2023,1179,1982,1775,3364,6535,14835,44.1,111883
40,2023,1244,2284,1919,3442,5074,13963,36.3,97291
41,2023,980,1574,2152,3599,7876,16181,48.7,122020
42,2023,311,629,374,1490,10471,13275,78.9,170763
43,2023,268,301,334,1119,7122,9144,77.9,169756
44,2023,364,278,441,931,6533,8547,76.4,168232
45,2023,1019,1700,1517,3516,6355,14107,45.0,115067
46,2023,1140,1114,815,1279,3281,7629,43.0,104144
47,2023,375,567,827,1996,8877,12642,70.2,160992
48,2023,970,922,841,1792,3130,7655,40.9,105539
49,2023,1089,2016,1496,2413,2855,9869,28.9,81910
50,2023,1485,2574,2308,2852,4335,13554,32.0,82188
