eventname,moviename,parkname,zipcode,startdate,enddate,eventurl,parkurl,community,movieclosedcaption,movierating,location_1
Night Out: Movies in the Parks at Lindblom,Annie (2014),Lindblom Park,60636.0,2015-08-06T20:30:00.000,2015-08-06T22:30:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Lindblom2/,http://www.chicagoparkdistrict.com/parks/Lindblom-Park/,"Englewood, West Englewood",,PG,"6054 S. Damen Ave. Chicago IL 60636
Chicago, IL 60636
(41.78319931, -87.6741333)"
Night Out: Movies in the Parks at Wicker,Night at the Museum ,Wicker Park,60622.0,2015-06-18T20:00:00.000,2015-06-18T21:48:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Wicker7/,http://www.chicagoparkdistrict.com/parks/Wicker-Park/,West Town,Yes,PG,"1425 N. Damen Avenue Chicago IL 60622
Chicago, IL 60622
(41.90821838, -87.67736053)"
Night Out: Movies in the Parks at Belmont Harbor,Dial M for Murder,Lincoln Park,60614.0,2015-06-15T20:30:00.000,2015-06-15T22:15:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Belmont-Harbor4/,http://www.chicagoparkdistrict.com/parks/lincoln-park/,Lincoln Park,Yes,PG,"2045 N Lincoln Park West Chicago IL 60614
Chicago, IL 60614
(41.928495, -87.636008)"
Night Out: Movies in the Parks at Wolfe,The Giver,Wolfe Playground Park,60617.0,2015-06-10T20:00:00.000,2015-06-10T22:00:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Wolfe/,http://www.chicagoparkdistrict.com/parks/Wolfe-Playground-Park/,East Side,,PG-13,"3325 E. 108th St. Chicago IL 60617
Chicago, IL 60617
(41.69897461, -87.54348755)"
Night Out: Movies in the Parks at Kennicott,Maleficent,Kennicott Park,60653.0,2015-08-01T20:00:00.000,2015-08-01T21:37:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Kennicott2/,http://www.chicagoparkdistrict.com/parks/Kennicott-Park/,Kenwood,Yes,PG,"4434 S. Lake Park Ave. Chicago IL 60653
Chicago, IL 60653
(41.81412125, -87.59686279)"
Night Out: Movies in the Parks at Montgomery Ward,A League of Their Own,"Ward, A. Montgomery Park",60606.0,2015-08-11T20:00:00.000,2015-08-11T22:08:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Montgomery-Ward18/,http://www.chicagoparkdistrict.com/parks/Ward-A-Montgomery-Park/,Near North Side,Yes,PG,"630 N. Kingsbury St. Chicago IL 60606
Chicago, IL 60606
(41.89364243, -87.64193726)"
Night Out: Movies in the Parks at Buttercup,Frozen,Buttercup Playlot Park,60640.0,2015-07-18T20:30:00.000,2015-07-18T22:12:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Buttercup1/,http://www.chicagoparkdistrict.com/parks/Buttercup-Playlot-Park/,Uptown,Yes,PG,"4901 N Sheridan Rd Chicago, IL 60640
Chicago, IL 60640
(41.97158432, -87.65485382)"
Night Out: Movies in the Parks at Shabbona,Annie (2014),Shabbona Park,60634.0,2015-08-01T20:00:00.000,2015-08-01T21:58:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Shabbona1/,http://www.chicagoparkdistrict.com/parks/Shabbona-Park/,Dunning,Yes,PG,"6935 W. Addison St. Chicago IL 60634
Chicago, IL 60634
(41.94532394, -87.79989624)"
Night Out: Movies in the Parks at Maplewood,Big Hero 6,Maplewood Playlot Park,60647.0,2015-08-14T20:00:00.000,2015-08-14T21:36:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Maplewood3/,http://www.chicagoparkdistrict.com/parks/Maplewood-Playlot-Park/,West Town,,,"1640 N.Maplewood Ave. Chicago IL 60647
Chicago, IL 60647
(41.9112854, -87.69094086)"
Night Out: Movies in the Parks at Wicker,The Final Cut,Wicker Park,60622.0,2015-09-03T20:00:00.000,2015-09-03T21:35:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Wicker12/,http://www.chicagoparkdistrict.com/parks/Wicker-Park/,West Town,Yes,PG-13,"1425 N. Damen Avenue Chicago IL 60622
Chicago, IL 60622
(41.90821838, -87.67736053)"
