day,date,park,title,cc,rating,underwriter,park_address,location
Fri,2017-06-02T00:00:00.000,Berger Park Cultural Center,Young Frankenstein,Y,PG,,6205 N. Sheridan Rd.,"6205 N. Sheridan Rd.
Chicago, IL 
(41.994711, -87.655536)"
Fri,2017-06-09T00:00:00.000,Sherwood Park,Barber Shop: The Next Cut,Y,PG-13,,5701 S. Shields Ave.,"5701 S. Shields Ave.
Chicago, IL 
(41.790484, -87.634039)"
Mon,2017-06-12T00:00:00.000,Belmont Harbor,North by Northwest,,NR,,3200 N. Lake Shore Dr.,"3200 N. Lake Shore Dr.
Chicago, IL 
(41.940216, -87.63955)"
Tue,2017-06-13T00:00:00.000,Grant Park,Jumanji,Y,PG,Underwritten by the Greater South Loop Association,Columbus Drive,"Columbus Drive
Chicago, IL "
Tue,2017-06-13T00:00:00.000,Kedvale Park,Sing,Y,PG,,4134 W. Hirsch St.,"4134 W. Hirsch St.
Chicago, IL 
(41.906237, -87.730323)"
Wed,2017-06-14T00:00:00.000,"Bartelme, Mary Park",La La Land,Y,PG-13,Underwritten by the Mary Bartelme Park Advisory Council,115 S. Sangamon St.,"115 S. Sangamon St.
Chicago, IL 
(41.879642, -87.650804)"
Wed,2017-06-14T00:00:00.000,Foster Park,The Secret Life of Pets,Y,PG,,1440 W. 84th St.,"1440 W. 84th St.
Chicago, IL 
(41.741362, -87.659652)"
Wed,2017-06-14T00:00:00.000,Winnemac Park,A Cat in Paris,,PG,Underwritten by the Consulate General of France in Chicago,5100 N. Leavitt St,"5100 N. Leavitt St
Chicago, IL 
(41.974286, -87.684226)"
Thu,2017-06-15T00:00:00.000,Chicago Women's Park and Gardens,Pride & Prejudice,Y,PG,"Underwritten by the Clarke House Museum, The National Society of the Colonial Dames of America, The Prairie District Neighborhood Alliance and the Glessner House Museum",1801 S. Indiana Ave.,"1801 S. Indiana Ave.
Chicago, IL 
(41.857935, -87.622279)"
Thu,2017-06-15T00:00:00.000,Churchill Field Playlot Park,The Secret Life of Pets,Y,PG,Underwritten by the Bucktown Community Organization,1825 N. Damen Ave.,"1825 N. Damen Ave.
Chicago, IL 
(41.914792, -87.677554)"
Thu,2017-06-15T00:00:00.000,Wicker Park,Moonstruck,Y,PG,Underwritten by The Wormhole Coffee,1425 N. Damen Avenue,"1425 N. Damen Avenue
Chicago, IL 
(41.90763, -87.677389)"
Fri,2017-06-16T00:00:00.000,Anderson Playground Park,Ghostbusters (2016),Y,PG-13,,3748 S. Prairie Ave.,"3748 S. Prairie Ave.
Chicago, IL 
(41.827101, -87.620457)"
Fri,2017-06-16T00:00:00.000,Cornell Square Park,The Secret Life of Pets,Y,PG,,1809 W. 50th St.,"1809 W. 50th St.
Chicago, IL 
(41.803113, -87.670689)"
Fri,2017-06-16T00:00:00.000,Mayfair Park,Jumanji,Y,PG,Produced by the Mayfair Park Advisory Council,4550 W. Sunnyside Ave.,"4550 W. Sunnyside Ave.
Chicago, IL 
(41.962597, -87.7422)"
Fri,2017-06-16T00:00:00.000,West Chatham Park,The Magnificent Seven (2016),Y,PG-13,,8223 S. Princeton Ave.,"8223 S. Princeton Ave.
Chicago, IL 
(41.744298, -87.63173)"
Sat,2017-06-17T00:00:00.000,DuSable Museum of African American History,Queen of Katwe,Y,PG,Underwritten by the DuSable Museum of African American History,740 E. 56th Pl.,"740 E. 56th Pl.
Chicago, IL 
(41.793186, -87.605804)"
Sat,2017-06-17T00:00:00.000,Hermitage Park,Trolls,Y,PG,,5839 S. Wood St.,"5839 S. Wood St.
Chicago, IL 
(41.787531, -87.669252)"
Sat,2017-06-17T00:00:00.000,Winnemac Park,Ghostbusters (2016),Y,PG-13,,5100 N. Leavitt St,"5100 N. Leavitt St
Chicago, IL 
(41.974286, -87.684226)"
Mon,2017-06-19T00:00:00.000,Grant Park: Grove 5,Dirty Dancing,Y,PG-13,,800 S. Columbus Dr.,"800 S. Columbus Dr.
Chicago, IL 
(41.872058, -87.620555)"
Mon,2017-06-19T00:00:00.000,Tuley Park,Hidden Figures,Y,PG,,501 E. 90th Pl.,"501 E. 90th Pl.
Chicago, IL 
(41.730111, -87.60948)"
Tue,2017-06-20T00:00:00.000,A. Montgomery Ward Park,Ferris Bueller's Day Off,Y,PG-13,Underwritten by the River North Residents Association,630 N. Kingsbury St.,"630 N. Kingsbury St.
Chicago, IL 
(41.892878, -87.640952)"
Tue,2017-06-20T00:00:00.000,Archer Park,Angels in the Outfield,Y,PG,Underwritten by Archer Manor Little League,4901 S.Kilbourn Ave.,"4901 S.Kilbourn Ave.
Chicago, IL 
(41.803782, -87.735659)"
Tue,2017-06-20T00:00:00.000,Haas Park,The Dark Knight,Y,PG-13,Produced by the Haas Park Advisory Council,2402 N. Washtenaw Ave.,"2402 N. Washtenaw Ave.
Chicago, IL 
(41.924954, -87.694974)"
Tue,2017-06-20T00:00:00.000,Kells Playground Park,Hotel Transylvania 2,Y,PG,Underwritten by the Bickerdike Redevelopment Corp.,3201 W. Chicago Ave.,"3201 W. Chicago Ave.
Chicago, IL 
(41.895563, -87.706576)"
Wed,2017-06-21T00:00:00.000,Heritage Green Park,Sing,Y,PG,Underwritten by the West Loop Community Organization,610 W. Adams St.,"610 W. Adams St.
Chicago, IL 
(41.879284, -87.642727)"
Wed,2017-06-21T00:00:00.000,Osterman Beach,The Umbrellas of Cherbourg,Y,NR,Underwritten by the Consulate General of France in Chicago,5800 N. Lake Shore Dr.,"5800 N. Lake Shore Dr.
Chicago, IL "
