building_id,building_name_1,building_name_2,stories,number_of_units,year_built,building_sq_ft
510830,,,17,318,1950,
479442,,,12,192,1925,
348062,500 N MICHIGAN,,25,,1972,
29129,,,17,136,1937,
269039,GRANT HOSPITAL,,11,,1975,
215249,,,11,75,1935,
357783,,,22,482,1964,
366993,,,10,120,1908,
814852,,,10,,1908,60200
352202,HYATT REGENCY HOTEL,,33,,1980,
352036,,,10,,1918,
410073,,,22,,1958,
26753,SHORELINE TOWERS,,25,400,1970,
814346,THEATER DISTRICT SELF PARK,,12,,1987,
317528,1242 N LAKE SHORE DRIVE,,28,35,1933,
814557,UNISOURCE SYS,,10,,1925,67600
302621,1555 NORTH ASTOR,,47,,1974,
11398,,,11,172,1916,
813913,,,13,,1998,425100
261691,,,18,,1930,
553248,OGLESBY TOWERS,,25,191,1963,
360681,GATEWAY CENTER IV,300 SOUTH RIVERSIDE PLAZA,22,,1983,
814815,CHICAGO BAR ASSOCIATION,,17,,1990,110500
100389,,,13,90,1933,
239962,,,20,136,1974,
323777,1111 NORTH DEARBORN,,32,,1981,
358412,,,11,,1999,
311079,LOWELL HOUSE,,29,252,1972,
12061,,,12,194,1968,
328886,ESPLANADE APARTMENTS II,,28,,,
837269,,,29,57,1978,
308321,STATE PARKWAY CONDOMINIUMS,,27,,1961,
305092,THE PARKSIDE,,26,54,1974,
322966,THE ELM AT CLARK,,37,,1988,
50116,,,11,,1985,443300
323484,SAINT MARY OF NAZARETH HOSPITAL,,16,,1975,
815481,,,13,49,1930,
295852,,,11,134,1985,
345059,BEST WESTERN,,21,,1931,153300
815876,ELM TOWER,,16,,2002,
366266,,,27,,1984,
232190,,,11,,1949,
286521,,,17,44,1974,
815377,CLARIDGE HOTEL,,15,,1930,72000
31970,GRANVILLE TOWER,,29,154,1970,
36709,,,15,125,1932,
838357,,,11,,2002,
513686,,,15,178,1974,1700
342854,WYNDHAM HOTEL,,27,,1991,
351485,HELENE CURTIS,,10,,1983,138800
328058,MORNINGSIDE APARTMENTS,MOODY BIBLE INST.,13,,1977,
814489,ZURICH INSURANCE CO.,,16,,2000,
98877,,,18,188,1971,
314391,EVERGREEN TOWER II,,11,,1981,
353205,DORAL PLAZA,,40,,1982,
814529,INTERTEC PUBLISHING,,10,,1962,116900
352506,ENGINEERING BUILDING,205 WEST WACKER DRIVE BUILDING,23,,1928,
536511,,,14,224,1971,
313516,DICKINSON HOUSE,,28,,1964,
359678,,,14,,1958,248000
205187,,,10,72,1968,
232028,PARC LANE APARTMENTS,,12,208,1930,4200
861930,,,13,,1962,
353130,NORTH HARBOR TOWER,,55,600,1987,
358801,ABN AMRO BUILDING,,20,,1914,
23143,Mundelein Hall,Loyola University,15,,1921,
357799,NATIONAL LOUIS UNIVERSITY,,20,,1908,
49207,HORIZON HOUSE,,30,112,1969,
836688,,,10,,2005,
