sale_date,sale_price,class,class_description,property_group,city,zip_code,township_name,municipality,chicago_community_area,latitude,longitude,year_built,building_sqft,land_sqft,bedrooms,rooms,full_baths,half_baths,deed_type,is_multisale,num_parcels_sale,filter_same_sale_within_365,filter_less_than_10k,filter_deed_type
2025-01-01,105000,202,"One story residence, any age, up to 999 sq. ft.",Single-Family,CHICAGO,60655,Lake,CITY OF CHICAGO,MOUNT GREENWOOD,41.699,-87.698,1942,802,2500,2,4,1,0,Warranty,TRUE,2,FALSE,FALSE,FALSE
2025-01-01,105000,202,"One story residence, any age, up to 999 sq. ft.",Single-Family,CHICAGO,60655,Lake,CITY OF CHICAGO,MOUNT GREENWOOD,41.699,-87.699,1942,802,2757,2,4,1,0,Warranty,TRUE,2,FALSE,FALSE,FALSE
2025-01-01,1350000,299,Condominium,Condominium,CHICAGO,60606,West Chicago,CITY OF CHICAGO,NEAR WEST SIDE,41.888,-87.640,,,,,,,,Warranty,TRUE,3,FALSE,FALSE,FALSE
2025-01-01,1350000,299,Condominium,Condominium,CHICAGO,60606,West Chicago,CITY OF CHICAGO,NEAR WEST SIDE,41.888,-87.640,,,,,,,,Warranty,TRUE,3,FALSE,FALSE,FALSE
2025-01-01,1350000,299,Condominium,Condominium,CHICAGO,60606,West Chicago,CITY OF CHICAGO,NEAR WEST SIDE,41.888,-87.640,,,,,,,,Warranty,TRUE,3,FALSE,FALSE,FALSE
2025-01-01,151538,202,"One story residence, any age, up to 999 sq. ft.",Single-Family,SAUK VILLAGE,60411,Bloom,VILLAGE OF SAUK VILLAGE,,41.487,-87.560,1971,761,7788,2,4,1,0,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-01,165000,211,"Apartment building with 2 to 6 units, any age",Multi-Family,CHICAGO,60621,Lake,CITY OF CHICAGO,GREATER GRAND CROSSING,41.760,-87.629,1913,2748,4445,5,12,2,0,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-01,165000,299,Condominium,Condominium,CHICAGO,60614,North Chicago,CITY OF CHICAGO,LINCOLN PARK,41.923,-87.650,,,,,,,,Other,FALSE,1,FALSE,FALSE,FALSE
2025-01-01,197000,299,Condominium,Condominium,CHICAGO,60618,Jefferson,CITY OF CHICAGO,IRVING PARK,41.955,-87.699,,,,,,,,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-01,200000,299,Condominium,Condominium,CHICAGO,60645,Rogers Park,CITY OF CHICAGO,ROGERS PARK,42.016,-87.683,,,,,,,,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-01,205000,210,"Old style townhouse, over 62 years",Single-Family,CHICAGO,60628,Hyde Park,CITY OF CHICAGO,PULLMAN,41.700,-87.608,1888,1256,1365,2,6,1,0,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-01,210000,211,"Apartment building with 2 to 6 units, any age",Multi-Family,CHICAGO,60632,South Chicago,CITY OF CHICAGO,BRIGHTON PARK,41.823,-87.711,1923,1638,3100,4,8,2,0,Other,TRUE,2,FALSE,FALSE,FALSE
2025-01-01,215000,299,Condominium,Condominium,CHICAGO,60613,Lake View,CITY OF CHICAGO,LAKE VIEW,41.951,-87.652,,,,,,,,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-01,220000,211,"Apartment building with 2 to 6 units, any age",Multi-Family,CHICAGO,60621,Lake,CITY OF CHICAGO,ENGLEWOOD,41.790,-87.649,1907,3380,4312,6,8,3,0,Warranty,FALSE,1,FALSE,FALSE,FALSE
