fid,trail,mile,longitude,latitude
4,Great Western Trail,0,-87.970630,41.887587
13,Great Western Trail,1,-87.988092,41.889228
14,Great Western Trail,2,-88.007800,41.890902
15,Great Western Trail,3,-88.027509,41.892484
16,Great Western Trail,4,-88.044734,41.893965
17,Great Western Trail,5,-88.063885,41.895389
18,Great Western Trail,6,-88.086080,41.897296
19,Great Western Trail,7,-88.103309,41.898499
20,Great Western Trail,8,-88.122061,41.900152
21,Great Western Trail,9,-88.142296,41.901835
22,Great Western Trail,10,-88.161572,41.902949
23,Great Western Trail,11,-88.182370,41.905008
40,Prairie Path - Aurora Branch,1,-88.117776,41.851277
41,Prairie Path - Aurora Branch,2,-88.132073,41.843319
42,Prairie Path - Aurora Branch,3,-88.149695,41.836258
43,Prairie Path - Aurora Branch,4,-88.166850,41.830757
44,Prairie Path - Aurora Branch,5,-88.181999,41.824101
45,Prairie Path - Aurora Branch,6,-88.198700,41.817202
46,Prairie Path - Aurora Branch,7,-88.212592,41.806569
47,Prairie Path - Aurora Branch,8,-88.225478,41.798129
48,Prairie Path - Aurora Branch,9,-88.246171,41.794822
49,Prairie Path - Batavia Spur,8,-88.232955,41.802193
50,Prairie Path - Batavia Spur,9,-88.252028,41.802837
24,Prairie Path - Elgin Branch,1,-88.130073,41.877195
25,Prairie Path - Elgin Branch,2,-88.143659,41.884361
26,Prairie Path - Elgin Branch,3,-88.157540,41.891387
27,Prairie Path - Elgin Branch,4,-88.175111,41.900396
28,Prairie Path - Elgin Branch,5,-88.193674,41.907563
30,Prairie Path - Elgin Branch,7,-88.217023,41.928908
31,Prairie Path - Elgin Branch,8,-88.228536,41.939487
32,Prairie Path - Elgin Branch,9,-88.241732,41.951217
33,Prairie Path - Elgin Branch,10,-88.255602,41.963991
36,Prairie Path - Geneva Branch,5,-88.193201,41.882505
37,Prairie Path - Geneva Branch,6,-88.205126,41.890454
38,Prairie Path - Geneva Branch,7,-88.227242,41.893141
39,Prairie Path - Geneva Branch,8,-88.246519,41.892708
34,Prairie Path - Geneva Spur,3,-88.157889,41.886708
35,Prairie Path - Geneva Spur,4,-88.172765,41.882807
12,Prairie Path - Main Stem,0,-88.116812,41.864121
11,Prairie Path - Main Stem,1,-88.097094,41.866777
10,Prairie Path - Main Stem,2,-88.082001,41.874470
9,Prairie Path - Main Stem,3,-88.062239,41.877000
8,Prairie Path - Main Stem,4,-88.041667,41.881052
7,Prairie Path - Main Stem,5,-88.019825,41.882132
6,Prairie Path - Main Stem,6,-88.001752,41.882501
29,Prairie Path - Main Stem,6,-88.206078,41.918730
5,Prairie Path - Main Stem,7,-87.985002,41.882601
3,Prairie Path - Main Stem,8,-87.963783,41.886577
2,Prairie Path - Main Stem,9,-87.943076,41.884952
1,Prairie Path - Main Stem,10,-87.922731,41.883353
