ASSET_ID,LINES,DESCRIPTIO,EDIT_INIT,EDIT_DATE
21200078.0,Electric,18th St. (2.2) to 19th St. Merge,hm,1995-08-02
21200075.0,"Electric, S. Shore",19th St. Merge (no junction) to McCormick Place (2.7),hm,1995-08-02
21200001.0,"Electric, S. Shore",11th Pl. Divide to 19th St. Merge,aef,2001-03-08
21200212.0,"UP-N, UP-NW, UP-W",Ogilvie Station to Clinton St. Junction,hm,1995-08-02
21200211.0,"Milw-N, Milw-W, NCS",Union Station (North) to Western Ave. Interlocking,aef,2001-11-05
21200252.0,Milw-N,Glenview (17.4) to North Glenview (18.8),aef,2001-01-08
21200251.0,Milw-N,North Glenview (18.8) to Northbrook (21.1),aef,2001-01-08
21200195.0,UP-NW,Clybourn (2.9) to Irving Park (7.0),hm,1995-08-02
21200121.0,UP-N,Clybourn Junction to Clybourn (2.9),hm,1995-08-02
21200003.0,"UP-N, UP-NW",Clinton St. Junction to Clybourn Junction,hm,1995-08-02
21200196.0,UP-NW,Clybourn Junction to Clybourn (2.9),hm,1995-08-02
21200240.0,NCS,B-12 Junction (Franklin Park) to O'Hare (17.1),nls,1997-02-19
21200223.0,"Milw-W, NCS",River Grove (11.4) to B-12 Junction (Franklin Park),hm,1995-08-02
21200134.0,Milw-W,B-12 Junction (Franklin Park) to Franklin Park (13.2),hm,1995-08-02
21200213.0,Rock Is.,LaSalle St. to Gresham (9.8),aef,2001-03-08
0.0,S. Shore,East Chicago to Gary Airport,af,2005-09-22
0.0,S. Shore,Gary Airport to Gary Metro,af,2005-09-22
0.0,S. Shore,Gary Metro to Miller,af,2005-09-22
0.0,S. Shore,Miller to Ogden Dunes,af,2005-09-22
0.0,S. Shore,Ogden Dunes to Dune Park,af,2005-09-22
0.0,S. Shore,Dune Park going east,af,2005-09-22
21200218.0,S. Shore,Hegewisch (19.0) to Hammond,aef,2001-08-01
21200218.0,S. Shore,Hammond to East Chicago,aef,2001-08-01
0.0,UP-W,Geneva to La Fox,af,2011-04-28
0.0,UP-W,La Fox to Elburn,af,2011-04-28
0.0,SWS,179th St to LAraway Road,af,2011-04-28
0.0,SWS,Laraway Road to Manhattan,af,2011-04-28
21200002.0,UP-NW,Crystal Lake Junction to McHenry (50.6),aef,2001-01-08
21200006.0,Electric-Main Line,Richton Park (29.3) to University Park (31.5),hm,1995-08-02
21200007.0,Electric-Main Line,147th St. (19.0) to Harvey (20.0),hm,1995-08-02
21200008.0,Electric-Main Line,Calumet (22.8) to Homewood (23.5),hm,1995-08-02
21200009.0,Electric-Main Line,Olympia Fields (26.6) to 211th St. (27.6),hm,1995-08-02
21200010.0,Electric-Main Line,211th St. (27.6) to Matteson (28.2),hm,1995-08-02
21200011.0,Electric-Main Line,Harvey (20.0) to Hazel Crest (22.3),hm,1995-08-02
21200012.0,Electric-Main Line,Hazel Crest (22.3) to Calumet (22.8),hm,1995-08-02
21200013.0,Electric-Main Line,Homewood (23.5) to Flossmoor (24.9),hm,1995-08-02
21200014.0,Electric-Main Line,Flossmoor (24.9) to Olympia Fields (26.6),hm,1995-08-02
21200015.0,Rock Is.,80th Ave. (25.1) to Hickory Creek (27.5),hm,1995-08-02
21200016.0,Rock Is.,Oak Forest (20.4) to Tinley Park (23.5),hm,1995-08-02
21200017.0,Rock Is.,Tinley Park (23.5) to 80th Ave. (25.1),hm,1995-08-02
21200018.0,Rock Is.,Hickory Creek (27.5) to Mokena (29.6),hm,1995-08-02
21200026.0,Electric-Main Line,120th St. Junction (CP 15.21) to Riverdale (17.3),hm,1995-08-02
21200027.0,Electric-Blue Island,120th St. Junction (CP 15.21) to State St. (15.6),hm,1995-08-02
21200031.0,Rock Is.,Midlothian (18.5) to Oak Forest (20.4),hm,1995-08-02
21200032.0,Rock Is.,Robbins (17.2) to Midlothian (18.4),hm,1995-08-02
21200034.0,Rock Is.-Main,Western Ave. Junction to Robbins (17.2),aef,2001-11-05
21200035.0,Electric-Blue Island,Ashland Ave. (17.9) to Burr Oak (18.4),hm,1995-08-02
21200036.0,Electric-Blue Island,Racine Ave. (17.0) to Ashland Ave. (17.9),hm,1995-08-02
21200037.0,Electric-Blue Island,West Pullman (16.7) to Racine Ave. (17.0),hm,1995-08-02
21200038.0,Electric-Blue Island,State St. (15.6) to Stewart Ridge (16.0),hm,1995-08-02
21200285.0,Rock Is.-Branch,Blue Island Vermont St. (15.7) to Western Ave. Junction,aef,2001-11-05
21200286.0,Rock Is.-Main,Blue Island Vermont St. (15.7) to Western Ave. Junction,aef,2001-11-05
21200039.0,Electric-Blue Island,Stewart Ridge (16.0) to West Pullman (16.7),hm,1995-08-02
21200040.0,Electric-Main Line,Riverdale (17.3) to Ivanhoe (18.2),hm,1995-08-02
21200041.0,Electric-Main Line,Ivanhoe (18.2) to 147th St. (19.0),hm,1995-08-02
21200042.0,Rock Is.-Branch,Prairie St. (15.8) to Blue Island Vermont St. (15.7),aef,2001-11-05
21200043.0,Rock Is.-Branch,123rd St. (15.2) to Prairie St. (15.8),hm,1995-08-02
21200044.0,Rock Is.-Branch,119th St. (14.8) to 123rd St. (15.2),hm,1995-08-02
21200059.0,SWS,Palos Park (20.3) to 143rd St. (23.6),hm,1995-08-02
21200060.0,SWS,143rd St. (23.6) to 153rd St. (25.2),hm,1995-08-02
21200064.0,Heritage,Lemont (25.3) to Lockport (32.9),hm,1995-08-02
21200111.0,UP-W,Wheaton (25.0) to Winfield (27.5),hm,1995-08-02
21200150.0,Milw-W,Hanover Park (28.4) to Bartlett (30.1),hm,1995-08-02
21200151.0,Milw-W,Schaumburg (26.5) to Hanover Park (28.4),hm,1995-08-02
21200152.0,UP-W,Winfield (27.5) to West Chicago (29.8),hm,1995-08-02
21200173.0,Milw-W,Elgin (36.6) to Big Timber (39.8),hm,1995-08-02
21200174.0,UP-N,Hubbard Woods (17.7) to Glencoe (19.2),hm,1995-08-02
21200175.0,UP-N,Glencoe (19.2) to Braeside (20.5),hm,1995-08-02
21200176.0,UP-N,Ravinia (21.5) to Highland Park (23.0),hm,1995-08-02
21200177.0,UP-N,Highland Park (23.0) to Highwood (24.5),hm,1995-08-02
21200178.0,UP-N,Highwood (24.5) to Fort Sheridan (25.7),hm,1995-08-02
21200179.0,UP-NW,Palatine (26.8) to Barrington (31.9),hm,1995-08-02
21200180.0,UP-NW,Cary (43.2) to Crystal Lake Junction,hm,1995-08-02
21200181.0,UP-NW,Fox River Grove (37.3) to Cary (38.6),hm,1995-08-02
21200182.0,UP-N,Fort Sheridan (25.7) to Lake Forest (28.3),hm,1995-08-02
21200183.0,UP-N,Lake Forest (28.3) to Lake Bluff (30.2),hm,1995-08-02
21200184.0,UP-N,North Chicago (33.7) to Waukegan (35.9),hm,1995-08-02
21200185.0,Milw-N,Lake Forest (28.4) to Libertyville (35.5),aef,2001-01-08
21200186.0,Milw-N,Grayslake (41.0) to Round Lake (44.0),hm,1995-08-02
21200187.0,Milw-N,Round Lake (44.0) to Long Lake (46.0),hm,1995-08-02
21200188.0,UP-NW,Crystal Lake (43.2) to Woodstock (51.6),hm,1995-08-02
21200189.0,UP-N,Zion (42.1) to Winthrop Harbor (44.5),hm,1995-08-02
21200190.0,UP-N,Waukegan (35.9) to Zion (42.1),aef,2001-01-10
21200191.0,Milw-N,Ingleside (47.8) to Fox Lake (49.5),hm,1995-08-02
21200192.0,Milw-N,Long Lake (46.0) to Ingleside (47.8),hm,1995-08-02
21200193.0,UP-NW,Woodstock (51.6) to Harvard (63.1),hm,1995-08-02
21200199.0,Milw-N,Libertyville (35.5) to Grayslake (41.0),hm,1995-08-02
21200200.0,UP-NW,Crystal Lake Junction to Crystal Lake (43.2),hm,1995-08-02
21200021.0,"Electric, S. Shore",95th St. (12.0) to 103rd St. (13.0),hm,1995-08-02
