OBJECTID,STATION_ID,ASSET_ID,NAME,LONGNAME,LINES,BRANCH_ID,STATUS,MILEPOST,FAREZONE,ADA,ADA2,PKNRD,BIKEPKNG,TICKET_AVA,ADDRESS,MUNICIPALI,TELEPHONE,WEBLINK,LABELANGLE,EDIT_INIT,EDIT_DATE,YEAR_OPEN
1,1091.0,51201091.0,Stony Island,Stony Island,Electric,1,1,9.1,B,0,N,0,0,,71st St. (at Stony Island Ave.),Chicago,,,30,ks,1995-08-02,
2,1097.0,51201097.0,Bryn Mawr,Bryn Mawr,Electric,1,1,9.7,B,0,N,0,0,,71st St. (at Jeffrey Blvd.),Chicago,,,30,ks,1995-08-02,
3,1103.0,51201103.0,South Shore,South Shore,Electric,1,1,10.3,B,0,N,1,0,,71st St. (near Yates and South Shore Dr.),Chicago,,,0,ks,1995-08-02,
4,1109.0,51201109.0,Windsor Park,Windsor Park,Electric,1,1,10.9,B,0,N,1,0,,75th St. (at Exchange Ave.),Chicago,,,0,ks,1995-08-02,
5,1115.0,51201115.0,Cheltenham,Cheltenham (79th Street),Electric,1,1,11.5,B,1,N,1,0,,79th St. (at Exchange Ave.),Chicago,,,0,ks,1995-08-02,
6,1120.0,51201120.0,83rd St.,83rd Street,Electric,1,1,12.0,B,0,N,1,0,,83rd St. (at Exchange Ave.),Chicago,,,0,ks,1995-08-02,
7,1125.0,51201125.0,87th St.,87th Street,Electric,1,1,12.5,B,0,N,1,0,,87th St. (1 blk. E. of Commercial Ave.),Chicago,,,0,ks,1995-08-02,
8,1130.0,51201130.0,91st St.,91st Street (South Chicago),Electric,1,1,13.0,B,0,N,1,0,,91st St. (near Baltimore St.),Chicago,,,0,ks,1995-08-02,
9,3190.0,51203190.0,Hegewisch,Hegewisch,S. Shore,3,1,19.0,3,0,A,1,0,,13730 South Brainard Ave.,Chicago,,,0,ks,1995-08-02,
10,4156.0,51204156.0,State St.,State Street,Electric,4,1,15.6,D,1,N,0,0,,State St. (S. of 120th Pl.),Chicago,,,135,ks,1995-08-02,
11,4160.0,51204160.0,Stewart Ridge,Stewart Ridge,Electric,4,1,16.0,D,1,N,0,0,,Stewart Ridge (S. of 120th Pl.),Chicago,,,135,ks,1995-08-02,
12,4167.0,51204167.0,West Pullman,West Pullman,Electric,4,1,16.7,D,1,N,1,0,,Halsted St.,Chicago,,,135,ks,1995-08-02,
13,4170.0,51204170.0,Racine Ave.,Racine Avenue,Electric,4,1,17.0,D,1,N,1,0,,Racine Ave. (S. of 120th St.),Chicago,,,135,ks,1995-08-02,
