nconst,primaryName,numFilms,totalVotes,titles
nm0000168,Samuel L. Jackson,112,23597159,tt0110912|tt1853728|tt0107290|tt2395427|tt1843866|tt0458339|tt1228705|tt0121766|tt0317705|tt0121765|tt2802144|tt3460252|tt6320628|tt4154664|tt0217869|tt0112864|tt0119396|tt3731562|tt3606756|tt0489099|tt0450385|tt1386588|tt6823368|tt1959563|tt0108399|tt1234721|tt0117913|tt1935859|tt0918940|tt0393162|tt0295701|tt0120768|tt10676048|tt0257076|tt0149261|tt0417148|tt0105112|tt1860353|tt8385148|tt0120184|tt1293847|tt0914863|tt0116908|tt0162650|tt1321511|tt10342730|tt0264472|tt0329774|tt0107554|tt0264395|tt0462200|tt0831887|tt4463894|tt0119256|tt0947802|tt0107659|tt0160797|tt0227984|tt0896798|tt6285944|tt6079772|tt2088003|tt0104573|tt0775440|tt5779228|tt0399327|tt0118531|tt0315297|tt5804038|tt1731701|tt0092948|tt0416185|tt2304953|tt2338454|tt0102175|tt0113552|tt0349467|tt0109842|tt1121977|tt0119080|tt1810697|tt1111948|tt0763840|tt4594834|tt1867093|tt0106266|tt0116448|tt0105813|tt27304026|tt1210027|tt0292610|tt1488181|tt4428398|tt2044801|tt6300910|tt0182000|tt1223236|tt0113691|tt15507512|tt0488539|tt0349260|tt0099395|tt0102996|tt0117577|tt0413615|tt0109969|tt0102174|tt0100480|tt0312305|tt36948232|tt2120176|tt3612316
nm0000093,Brad Pitt,54,21940126,tt0137523|tt0114369|tt0361748|tt0208092|tt7131622|tt2024544|tt0816711|tt0421715|tt0114746|tt0240772|tt0332452|tt2713180|tt0356910|tt1596363|tt12593682|tt1210166|tt0349903|tt0496806|tt16311594|tt0110148|tt0887883|tt0449467|tt1001526|tt0119643|tt2935510|tt0108399|tt0117665|tt10640346|tt0443680|tt0110322|tt0103074|tt0478304|tt3640424|tt13320622|tt0266987|tt0120102|tt1764234|tt0236493|tt14257582|tt0118972|tt0105265|tt0165982|tt0107302|tt4758646|tt0104009|tt3707106|tt0097136|tt0104567|tt4973112|tt0118930|tt0109783|tt0101268|tt0097478|tt12179456
nm0000151,Morgan Freeman,91,20449191,tt0111161|tt0468569|tt0114369|tt1345836|tt1670345|tt0405159|tt1483013|tt2872732|tt0315327|tt0105695|tt0493464|tt3110958|tt0425210|tt1245526|tt0452623|tt2302755|tt0825232|tt2637276|tt2209764|tt0102798|tt0120647|tt3300542|tt1057500|tt0413099|tt0097441|tt0114069|tt1204975|tt0164184|tt0097239|tt6189022|tt0342258|tt0164334|tt0285531|tt0119468|tt2568862|tt0118607|tt4244998|tt0115857|tt0257756|tt2638144|tt2493486|tt5523010|tt0120696|tt1112782|tt0350261|tt0171580|tt0164212|tt14153080|tt0099165|tt0445946|tt1564349|tt0097722|tt1839654|tt0080474|tt0315824|tt1107860|tt3181776|tt0800027|tt0499603|tt0389957|tt5420210|tt18083578|tt5862166|tt0097626|tt2933544|tt0105159|tt2978462|tt13141250|tt5721088|tt7469828|tt0094884|tt0304328|tt0082353|tt5932368|tt0117071|tt0094056|tt22022784|tt11833408|tt12598606|tt0090151|tt0087386|tt0089555|tt0119561|tt0391225|tt5852632|tt2259306|tt5212792|tt0250787|tt0067982|tt20287668|tt1103981
nm0000138,Leonardo DiCaprio,34,20164132,tt1375666|tt1853728|tt0993846|tt1130884|tt0407887|tt0120338|tt0264464|tt7131622|tt1663202|tt11286314|tt1343092|tt0450259|tt0217505|tt30144839|tt0338751|tt5537002|tt0163978|tt0108550|tt0117509|tt0758774|tt0959337|tt0120744|tt1616195|tt0112461|tt0114214|tt0108330|tt0116999|tt0120533|tt0105156|tt0114702|tt0101627|tt0119004|tt1433813|tt9114472
nm0000158,Tom Hanks,65,19109420,tt0109830|tt0120815|tt0120689|tt0264464|tt0114709|tt0435761|tt0162222|tt0120363|tt0362227|tt1535109|tt0382625|tt1371111|tt3682448|tt0112384|tt1979376|tt0808151|tt3263904|tt0257044|tt0107818|tt0338348|tt3704428|tt0094737|tt0128853|tt7405458|tt0108160|tt3062096|tt2140373|tt6294822|tt13143964|tt14230388|tt6048922|tt0104694|tt0472062|tt3420504|tt0335245|tt0477302|tt4287320|tt6878306|tt3224458|tt0096734|tt0088161|tt0098536|tt0117887|tt1583420|tt29355505|tt0091541|tt2980210|tt4593060|tt0086927|tt0099892|tt0092925|tt18272208|tt0099165|tt0089543|tt0460810|tt26683420|tt0090274|tt0095927|tt0091653|tt0080850|tt3501590|tt0091019|tt1339660|tt0176093|tt36726135
nm0000134,Robert De Niro,100,17902362,tt7286456|tt0071562|tt0099685|tt0075314|tt0113277|tt1045658|tt1219289|tt0112641|tt1302006|tt0081398|tt0087843|tt0119396|tt0077416|tt0212338|tt0094226|tt2361509|tt5537002|tt0290002|tt0117665|tt0101540|tt0088846|tt0307453|tt0985694|tt0122690|tt0106489|tt0099077|tt0122933|tt2446980|tt0227445|tt1860213|tt1448755|tt1204975|tt0085794|tt0203019|tt0070379|tt2404311|tt0970866|tt0118887|tt0343737|tt0092563|tt0095631|tt1034331|tt0101393|tt0120885|tt0289848|tt0382077|tt1748179|tt0091530|tt0780511|tt0284490|tt1661382|tt0109836|tt0108330|tt0119223|tt0116277|tt1931435|tt0179626|tt1423995|tt1480295|tt3276924|tt0116999|tt0486674|tt4532038|tt0074084|tt0269095|tt0335121|tt0098625|tt0107473|tt0076451|tt21815562|tt11561116|tt0131704|tt0155711|tt8373206|tt1781827|tt0455323|tt2212008|tt0087233|tt5420210|tt1815708|tt0101984|tt0083232|tt0074777|tt0100680|tt1967614|tt0097607|tt0065836|tt0069765|tt0105001|tt1712187|tt0063036|tt20258920|tt0065481|tt13055982|tt0356443|tt0066856|tt0065198|tt0067124|tt0064924|tt0067266
nm0424060,Scarlett Johansson,55,17875867,tt0482571|tt0848228|tt4154796|tt4154756|tt2395427|tt1843866|tt1228705|tt3498820|tt1798709|tt2872732|tt0335266|tt2584384|tt3480822|tt7653254|tt0399201|tt3040964|tt0497465|tt2229499|tt2883512|tt1219827|tt0416320|tt3470600|tt31036941|tt1441395|tt1389137|tt0475290|tt14230388|tt0119303|tt0162346|tt0467200|tt0243133|tt0345950|tt6467266|tt0457513|tt0335119|tt0975645|tt0387877|tt8864596|tt0489237|tt0831887|tt0271367|tt1896747|tt4799050|tt0385267|tt0119314|tt0113501|tt0369672|tt0314498|tt0379306|tt0221799|tt0116606|tt20911974|tt0116985|tt0165396|tt34385689
nm0000288,Christian Bale,47,16358236,tt0468569|tt1345836|tt0372784|tt0482571|tt0144084|tt1950186|tt1596363|tt1800241|tt10648342|tt0361862|tt0964517|tt0438488|tt0238380|tt0381849|tt1152836|tt0114148|tt1528100|tt4776998|tt6266538|tt0253556|tt0092965|tt14138650|tt1206543|tt0462504|tt10304142|tt5478478|tt0402399|tt0162650|tt0433387|tt2388771|tt0110367|tt0368794|tt1410063|tt0120879|tt0238112|tt30851137|tt2101383|tt0140379|tt0104990|tt0108265|tt0298408|tt0117364|tt0093543|tt0119665|tt0120584|tt0117582|tt0110891
nm0000375,Robert Downey Jr.,61,16331263,tt0848228|tt4154796|tt4154756|tt0371746|tt15398776|tt2395427|tt1300854|tt1228705|tt3498820|tt2250912|tt0988045|tt0443706|tt1515091|tt0942385|tt1231583|tt2883512|tt0373469|tt1872194|tt0348836|tt0405296|tt0120873|tt0090305|tt6673612|tt0131325|tt0185014|tt0423977|tt0103939|tt0821642|tt0090685|tt0099005|tt0110737|tt0473488|tt0093407|tt0393735|tt0107091|tt0102951|tt0422295|tt0113321|tt0120710|tt0097044|tt0119196|tt0114272|tt0314676|tt0093737|tt0095409|tt0343663|tt0124179|tt0119832|tt0090213|tt0165643|tt0098524|tt0094594|tt0087263|tt0425055|tt0119327|tt0109969|tt0116016|tt2649194|tt0103100|tt0095978|tt0098464
nm0000354,Matt Damon,62,16255229,tt0120815|tt0407887|tt0119217|tt15398776|tt3659388|tt0440963|tt0240772|tt0258463|tt1950186|tt0372183|tt1535108|tt33764258|tt0496806|tt1403865|tt1598778|tt1385826|tt0134119|tt4196776|tt0356150|tt0120655|tt4244994|tt16419074|tt1057500|tt0128442|tt1389137|tt2034800|tt2177771|tt0118842|tt0947810|tt32642706|tt0365737|tt1389072|tt0355295|tt0343737|tt1212419|tt0166813|tt0119978|tt1130080|tt0120913|tt10696896|tt0115956|tt0146984|tt0338466|tt0491175|tt1291580|tt24169886|tt2091473|tt0105327|tt19356262|tt0302674|tt0466893|tt0107004|tt0149624|tt0202623|tt0416825|tt0481222|tt1848826|tt6654082|tt6633412|tt1737667|tt3613624|tt5469654
