primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
The Shawshank Redemption,1994,142,Drama,9.3,3195314
The Dark Knight,2008,152,"Crime,Thriller",9.1,3176249
Inception,2010,148,"Adventure,Sci-Fi,Thriller",8.8,2824348
Fight Club,1999,139,"Crime,Drama,Thriller",8.8,2615814
Interstellar,2014,169,"Adventure,Drama,Sci-Fi",8.7,2541567
Forrest Gump,1994,142,"Drama,Romance",8.8,2501565
Pulp Fiction,1994,154,"Crime,Drama",8.8,2439449
The Matrix,1999,136,"Action,Sci-Fi",8.7,2252453
The Godfather,1972,175,"Crime,Drama",9.2,2229956
The Lord of the Rings: The Fellowship of the Ring,2001,178,"Adventure,Drama,Fantasy",8.9,2210277
The Lord of the Rings: The Return of the King,2003,201,"Adventure,Drama,Fantasy",9.0,2168090
Seven,1995,127,"Crime,Drama,Mystery",8.6,2026525
The Dark Knight Rises,2012,164,"Crime,Thriller",8.4,1999560
The Lord of the Rings: The Two Towers,2002,179,"Adventure,Drama,Fantasy",8.8,1960555
Django Unchained,2012,165,"Drama,Western",8.5,1887964
Gladiator,2000,155,"Action,Adventure,Drama",8.5,1853968
The Wolf of Wall Street,2013,180,"Biography,Comedy,Crime",8.2,1794621
Inglourious Basterds,2009,153,"Drama,War",8.4,1789614
The Silence of the Lambs,1991,118,"Crime,Drama,Horror",8.6,1726667
Batman Begins,2005,140,Crime,8.2,1718778
Joker,2019,122,Drama,8.3,1698946
Shutter Island,2010,138,"Drama,Mystery,Thriller",8.2,1654028
Saving Private Ryan,1998,169,"Drama,War",8.6,1643151
The Prestige,2006,130,"Drama,Mystery,Sci-Fi",8.5,1592725
Schindler's List,1993,195,"Biography,Drama,History",9.0,1586996
Star Wars: Episode IV - A New Hope,1977,121,"Adventure,Fantasy,Sci-Fi",8.6,1572710
The Green Mile,1999,189,"Crime,Drama,Fantasy",8.6,1564499
The Avengers,2012,143,"Action,Sci-Fi",8.0,1560986
The Departed,2006,151,"Crime,Drama,Thriller",8.5,1557866
Star Wars: Episode V - The Empire Strikes Back,1980,124,"Adventure,Fantasy,Sci-Fi",8.7,1507380
Avatar,2009,162,"Action,Adventure,Fantasy",7.9,1500655
The Godfather Part II,1974,202,"Crime,Drama",9.0,1496738
Back to the Future,1985,116,"Adventure,Comedy,Sci-Fi",8.5,1455912
Avengers: Endgame,2019,181,"Action,Adventure,Sci-Fi",8.4,1452194
Memento,2000,113,"Mystery,Thriller",8.4,1437184
Titanic,1997,194,"Drama,Romance",8.0,1396027
GoodFellas,1990,145,"Biography,Crime,Drama",8.7,1394837
The Truman Show,1998,103,"Comedy,Drama",8.2,1378371
Avengers: Infinity War,2018,149,"Action,Adventure,Sci-Fi",8.4,1377068
Guardians of the Galaxy,2014,121,"Action,Adventure,Comedy",8.0,1366815
Léon: The Professional,1994,110,"Action,Crime,Drama",8.5,1353292
Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,"Action,Adventure,Fantasy",8.1,1328163
WALL·E,2008,98,"Adventure,Animation,Family",8.4,1324519
Kill Bill: Vol. 1,2003,111,"Action,Crime,Thriller",8.2,1309854
Terminator 2: Judgment Day,1991,137,"Action,Adventure,Sci-Fi",8.6,1285834
American Beauty,1999,122,Drama,8.3,1280395
American History X,1998,119,"Crime,Drama",8.5,1275189
The Lion King,1994,88,"Adventure,Animation,Drama",8.5,1261834
Deadpool,2016,108,"Action,Comedy,Sci-Fi",8.0,1256640
V for Vendetta,2005,132,"Action,Drama,Sci-Fi",8.1,1247976
Catch Me If You Can,2002,141,"Biography,Crime,Drama",8.1,1244028
The Usual Suspects,1995,106,"Crime,Drama,Mystery",8.5,1240351
Up,2009,96,"Adventure,Animation,Comedy",8.3,1239279
The Shining,1980,146,"Drama,Horror",8.4,1228532
Iron Man,2008,126,"Action,Adventure,Sci-Fi",7.9,1227543
Good Will Hunting,1997,126,"Drama,Romance",8.4,1221429
Star Wars: Episode VI - Return of the Jedi,1983,131,"Adventure,Fantasy,Sci-Fi",8.3,1211842
Finding Nemo,2003,100,"Adventure,Animation,Comedy",8.2,1210558
Mad Max: Fury Road,2015,120,"Action,Adventure,Sci-Fi",8.1,1208682
No Country for Old Men,2007,122,"Crime,Drama,Thriller",8.2,1194184
Eternal Sunshine of the Spotless Mind,2004,108,"Drama,Romance,Sci-Fi",8.3,1184296
Jurassic Park,1993,127,"Adventure,Sci-Fi",8.2,1181011
Toy Story,1995,81,"Adventure,Animation,Comedy",8.3,1176535
Gone Girl,2014,149,"Drama,Mystery,Thriller",8.1,1172152
Reservoir Dogs,1992,99,"Crime,Thriller",8.3,1171345
Parasite,2019,132,"Drama,Thriller",8.5,1169437
Braveheart,1995,178,"Drama,War",8.3,1162896
Whiplash,2014,106,"Drama,Music",8.5,1159620
One Flew Over the Cuckoo's Nest,1975,133,Drama,8.6,1157599
The Sixth Sense,1999,107,"Drama,Mystery,Thriller",8.2,1146404
Raiders of the Lost Ark,1981,115,Adventure,8.4,1111216
The Hunger Games,2012,142,"Action,Adventure,Sci-Fi",7.2,1084146
"Monsters, Inc.",2001,92,"Adventure,Animation,Comedy",8.1,1076711
Alien,1979,117,"Horror,Sci-Fi",8.5,1065918
Dune: Part One,2021,155,"Action,Adventure,Drama",8.0,1061101
A Beautiful Mind,2001,135,"Biography,Drama,Mystery",8.2,1055174
Harry Potter and the Deathly Hallows: Part 2,2011,130,"Adventure,Family,Fantasy",8.1,1048660
Oppenheimer,2023,180,"Biography,Drama,History",8.2,1047757
Die Hard,1988,132,"Action,Thriller",8.2,1030647
The Intouchables,2011,112,"Comedy,Drama",8.5,1030128
Taxi Driver,1976,114,"Crime,Drama",8.2,1028186
Star Wars: Episode VII - The Force Awakens,2015,138,"Action,Adventure,Sci-Fi",7.7,1027981
Spider-Man: No Way Home,2021,148,"Action,Adventure,Fantasy",8.1,1025463
Scarface,1983,170,"Crime,Drama",8.3,1018941
The Martian,2015,144,"Adventure,Drama,Sci-Fi",8.0,1015755
The Pianist,2002,150,"Biography,Drama,Music",8.5,1013556
The Terminator,1984,107,"Action,Adventure,Sci-Fi",8.1,1006468
Avengers: Age of Ultron,2015,141,"Action,Adventure,Sci-Fi",7.3,1003504
12 Angry Men,1957,96,"Crime,Drama",9.0,985899
Snatch,2000,102,"Comedy,Crime",8.2,977500
Requiem for a Dream,2000,102,Drama,8.3,975394
The Grand Budapest Hotel,2014,99,"Comedy,Drama",8.1,974153
Captain America: The Winter Soldier,2014,136,"Action,Adventure,Sci-Fi",7.7,973972
Toy Story 3,2010,103,"Adventure,Animation,Comedy",8.3,972498
Spider-Man,2002,121,"Action,Adventure,Sci-Fi",7.4,970236
Spirited Away,2001,124,"Adventure,Animation,Family",8.6,970141
Captain America: The First Avenger,2011,124,"Action,Adventure,Sci-Fi",6.9,969670
Iron Man 3,2013,130,"Action,Adventure,Sci-Fi",7.1,968160
Thor,2011,115,"Action,Fantasy",7.0,968026
Once Upon a Time in... Hollywood,2019,161,"Comedy,Drama",7.6,965013
Harry Potter and the Sorcerer's Stone,2001,152,"Adventure,Family,Fantasy",7.7,953696
The Revenant,2015,156,"Action,Drama,Western",8.0,952049
Ratatouille,2007,111,"Adventure,Animation,Comedy",8.1,947447
Iron Man 2,2010,124,"Action,Sci-Fi",6.9,940235
Prisoners,2013,153,"Crime,Drama,Mystery",8.2,939329
A Clockwork Orange,1971,136,"Crime,Sci-Fi",8.2,937112
The Hangover,2009,100,Comedy,7.7,932918
The Batman,2022,176,"Action,Crime,Mystery",7.8,931758
Captain America: Civil War,2016,147,"Action,Sci-Fi",7.8,930108
Star Wars: Episode I - The Phantom Menace,1999,136,"Action,Adventure,Fantasy",6.5,929663
The Hobbit: An Unexpected Journey,2012,169,"Adventure,Fantasy",7.8,929258
Logan,2017,137,"Action,Drama,Sci-Fi",8.1,928391
Star Wars: Episode III - Revenge of the Sith,2005,140,"Action,Adventure,Fantasy",7.7,924795
Inside Out,2015,95,"Adventure,Animation,Comedy",8.1,918269
The Big Lebowski,1998,117,"Comedy,Crime",8.1,917263
300,2006,117,"Action,Drama",7.6,914135
Donnie Darko,2001,113,"Drama,Mystery,Sci-Fi",8.0,912317
Black Panther,2018,134,"Action,Adventure,Sci-Fi",7.3,911704
Slumdog Millionaire,2008,120,"Crime,Drama,Romance",8.0,911241
The Incredibles,2004,115,"Action,Adventure,Animation",8.0,903662
Gravity,2013,91,"Drama,Sci-Fi,Thriller",7.7,901210
Thor: Ragnarok,2017,130,"Action,Adventure,Comedy",7.9,897370
How to Train Your Dragon,2010,98,"Action,Adventure,Animation",8.1,896447
"The Good, the Bad and the Ugly",1966,178,"Adventure,Drama,Western",8.8,891500
Black Swan,2010,108,"Drama,Thriller",8.0,890722
Blade Runner,1982,117,"Action,Drama,Sci-Fi",8.1,882660
Doctor Strange,2016,115,"Action,Adventure,Fantasy",7.5,882018
Knives Out,2019,130,"Comedy,Crime,Drama",7.9,880098
I Am Legend,2007,101,"Drama,Horror,Sci-Fi",7.2,879424
The Imitation Game,2014,114,"Biography,Drama,Thriller",8.0,879278
Top Gun: Maverick,2022,130,"Action,Drama",8.2,879197
City of God,2002,130,"Crime,Drama",8.6,872542
Kill Bill: Vol. 2,2004,137,"Action,Crime,Thriller",8.0,871414
Man of Steel,2013,143,"Action,Adventure,Sci-Fi",7.1,868204
Arrival,2016,116,"Drama,Mystery,Sci-Fi",7.9,866516
Indiana Jones and the Last Crusade,1989,127,Adventure,8.2,864011
Gran Torino,2008,116,Drama,8.1,863639
