primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
The Extra Mile,2016,\N,Documentary,7.1,8
Last Three Days,2020,86,"Action,Crime,Mystery",3.6,686
Fistful of Vengeance,2022,96,"Action,Crime,Drama",4.5,8145
Caught from Behind 2: The Sequel,1983,75,Adult,6.2,99
Joru,2014,140,Comedy,4.7,133
The David Dance,2014,108,Drama,6.0,164
Impulse Black,2011,52,"Drama,Sci-Fi",4.3,443
Beautiful Beast,2012,100,"Action,Comedy,Fantasy",5.7,794
Her Safakta Ölürüm,1973,\N,Drama,5.7,15
Cry in the Woods,2004,106,"Crime,Thriller",6.0,1078
Pabst wieder sehen,1997,60,Documentary,7.1,11
Rose Guitarinaal,2013,\N,"Musical,Romance",4.4,32
My New Partner,1984,107,"Comedy,Crime,Thriller",7.2,5575
Furie,2019,98,"Action,Drama,Thriller",6.3,6197
Bille,2018,104,Drama,7.3,939
Or Something,2024,80,Drama,6.3,172
Kalbimin Efendisi,1970,94,"Drama,Romance",5.2,149
Wounded,2012,129,"Action,Comedy,Crime",5.0,19
L'ebbrezza del cielo,1940,98,\N,4.8,10
A Second Chance,2014,102,"Drama,Thriller",6.8,7421
Jomfru Trofast,1921,69,"Drama,Romance",6.2,13
Dr. Wong's Virtual Hell,1999,97,"Crime,Fantasy,Horror",3.3,212
Kitkajoki,2018,\N,Documentary,7.0,7
Sleep Paralysis and the Phenomenon of the Shadow People,2022,46,Documentary,6.0,15
Banda batki Knysha,1924,66,\N,5.3,32
Happy Monday(s),2025,128,"Comedy,Drama",5.6,169
Bia (2.0),2018,90,Romance,5.4,27
Promise to the Unknown One,1942,90,\N,6.1,11
On est au coton,1970,173,Documentary,7.6,96
Seed of Chucky,2004,87,"Comedy,Horror,Thriller",4.9,53260
Meteors,2017,84,"Drama,Mystery,Sci-Fi",7.0,338
Kappiri Thuruthu,2016,116,Drama,5.6,32
Torino Criminale parte 1,2019,\N,Drama,8.7,58
I Think My Babysitter Is an Alien,2015,80,Family,5.1,97
Mobile Suit Z Gundam III: A New Translation - Love Is the Pulse of the Stars,2006,99,"Action,Animation,Drama",6.8,356
Hardabasht,2023,\N,"Comedy,Crime,Drama",7.6,178
Elysium,1987,118,"Drama,War",7.1,59
Jelgava 94,2019,88,"Adventure,Drama",6.8,798
The Great Manhunt,1950,97,"Drama,Romance,Thriller",7.0,957
