unit_code,unit_name,park_name,state,region,unit_type,established_date,date_edit,longitude,latitude
ACAD,Acadia National Park,Acadia,ME,NE,National Parks,1919-02-26,2013-12-18,-68.303045,44.305861
ARCH,Arches National Park,Arches,UT,IM,National Parks,1971-11-12,2023-03-13,-109.586378,38.722624
BADL,Badlands National Park,Badlands,SD,MW,National Parks,1978-11-10,2024-03-18,-102.482735,43.685898
BIBE,Big Bend National Park,Big Bend,TX,IM,National Parks,1944-06-12,2018-01-09,-103.229379,29.297785
BISC,Biscayne National Park,Biscayne,FL,SE,National Parks,1980-06-28,2010-12-02,-80.210241,25.490592
BLCA,Black Canyon of the Gunnison National Park,Black Canyon of the Gunnison,CO,IM,National Parks,1999-10-21,2023-03-13,-107.724444,38.578033
BRCA,Bryce Canyon National Park,Bryce Canyon,UT,IM,National Parks,1928-02-25,2008-03-27,-112.182680,37.583997
CANY,Canyonlands National Park,Canyonlands,UT,IM,National Parks,1964-09-12,2010-04-26,-109.880173,38.245564
CARE,Capitol Reef National Park,Capitol Reef,UT,IM,National Parks,1971-12-18,2022-04-22,-111.176804,38.178611
CAVE,Carlsbad Caverns National Park,Carlsbad Caverns,NM,IM,National Parks,1930-05-14,2017-06-22,-104.552978,32.140900
CHIS,Channel Islands National Park,Channel Islands,CA,PW,National Parks,1980-03-05,2020-12-17,-119.911286,33.986806
CONG,Congaree National Park,Congaree,SC,SE,National Parks,2003-11-10,2022-06-07,-80.747501,33.791841
CRLA,Crater Lake National Park,Crater Lake,OR,PW,National Parks,1902-05-22,2017-06-05,-122.132762,42.941230
CUVA,Cuyahoga Valley National Park,Cuyahoga Valley,OH,MW,National Parks,2000-10-11,2025-06-10,-81.571024,41.259275
DEVA,Death Valley National Park,Death Valley,CA,PW,National Parks,1994-10-31,2025-12-15,-117.131583,36.481934
DENA,Denali National Park,Denali,AK,AK,National Parks,1917-02-26,2022-03-24,-150.730233,63.348240
DRTO,Dry Tortugas National Park,Dry Tortugas,FL,SE,National Parks,1992-10-26,2007-11-07,-82.871766,24.648854
EVER,Everglades National Park,Everglades,FL,SE,National Parks,1934-05-30,2019-06-24,-80.881659,25.375829
GAAR,Gates of the Arctic National Park,Gates of the Arctic,AK,AK,National Parks,1980-12-02,2019-03-21,-153.307840,67.803808
JEFF,Gateway Arch National Park,Gateway Arch,MO,MW,National Parks,2018-02-22,2025-03-10,-90.180395,38.623301
GLBA,Glacier Bay National Park,Glacier Bay,AK,AK,National Parks,1980-12-02,2022-03-24,-136.813137,58.794781
GLAC,Glacier National Park,Glacier,MT,IM,National Parks,1910-05-11,2023-12-04,-113.800956,48.684391
GRCA,Grand Canyon National Park,Grand Canyon,AZ,IM,National Parks,1919-02-26,2021-01-08,-112.683702,36.172775
GRTE,Grand Teton National Park,Grand Teton,WY,IM,National Parks,1929-02-26,2025-03-13,-110.705479,43.818542
GRBA,Great Basin National Park,Great Basin,NV,PW,National Parks,1986-10-27,2009-09-10,-114.257990,38.946179
GRSA,Great Sand Dunes National Park,Great Sand Dunes,CO,IM,National Parks,2004-09-24,2023-06-16,-105.628909,37.776640
GRSM,Great Smoky Mountains National Park,Great Smoky Mountains,TN,SE,National Parks,1934-06-15,2013-12-18,-83.507040,35.602092
GUMO,Guadalupe Mountains National Park,Guadalupe Mountains,TX,IM,National Parks,1972-09-30,2023-03-15,-104.885536,31.923050
