y1_year,y2_year,y2_statefips,y1_statefips,y1_state,y1_state_name,n1,n2,AGI
2011,2012,01,96,AL,AL Total Migration US and Foreign,50357,103106,2167719
2011,2012,01,97,AL,AL Total Migration US,49341,100777,2118535
2011,2012,01,98,AL,AL Total Migration Foreign,1016,2329,49184
2011,2012,01,01,AL,AL Non-migrants,1584665,3603439,87222478
2011,2012,01,13,GA,GEORGIA,9726,19988,334270
2011,2012,01,12,FL,FLORIDA,8039,14729,279695
2011,2012,01,47,TN,TENNESSEE,3661,7576,155251
2011,2012,01,48,TX,TEXAS,3166,6773,168283
2011,2012,01,28,MS,MISSISSIPPI,2792,6016,112949
2011,2012,01,06,CA,CALIFORNIA,1701,3451,80533
2011,2012,01,37,NC,NORTH CAROLINA,1603,3542,70304
2011,2012,01,51,VA,VIRGINIA,1490,3264,98155
2011,2012,01,22,LA,LOUISIANA,1323,2743,66179
2011,2012,01,36,NY,NEW YORK,1175,2350,47715
2011,2012,01,26,MI,MICHIGAN,1063,2099,38535
2011,2012,01,39,OH,OHIO,1031,2036,41821
2011,2012,01,57,FR,Foreign,1016,2329,49184
2011,2012,01,17,IL,ILLINOIS,1011,1905,52113
2011,2012,01,45,SC,SOUTH CAROLINA,971,2108,43175
2011,2012,01,21,KY,KENTUCKY,931,2133,39704
2011,2012,01,18,IN,INDIANA,748,1578,31040
2011,2012,01,42,PA,PENNSYLVANIA,641,1231,28554
2011,2012,01,29,MO,MISSOURI,636,1328,29570
2011,2012,01,08,CO,COLORADO,624,1335,37114
2011,2012,01,53,WA,WASHINGTON,591,1263,29368
2011,2012,01,24,MD,MARYLAND,557,1065,33861
2011,2012,01,04,AZ,ARIZONA,515,1054,29965
2011,2012,01,05,AR,ARKANSAS,507,1080,26362
2011,2012,01,40,OK,OKLAHOMA,444,989,28273
2011,2012,01,34,NJ,NEW JERSEY,417,811,20986
2011,2012,01,20,KS,KANSAS,388,976,16998
2011,2012,01,55,WI,WISCONSIN,291,543,24791
2011,2012,01,15,HI,HAWAII,270,665,12070
2011,2012,01,25,MA,MASSACHUSETTS,251,438,11867
2011,2012,01,32,NV,NEVADA,236,464,12379
2011,2012,01,27,MN,MINNESOTA,230,428,11236
2011,2012,01,02,AK,ALASKA,227,553,10230
2011,2012,01,09,CT,CONNECTICUT,224,451,10054
2011,2012,01,35,NM,NEW MEXICO,219,495,9985
2011,2012,01,19,IA,IOWA,208,407,9393
2011,2012,01,54,WV,WEST VIRGINIA,165,349,7830
2011,2012,01,49,UT,UTAH,162,388,6823
2011,2012,01,31,NE,NEBRASKA,139,331,6823
2011,2012,01,41,OR,OREGON,121,223,4191
2011,2012,01,11,DC,DISTRICT OF COLUMBIA,115,164,6765
2011,2012,01,16,ID,IDAHO,98,225,3713
2011,2012,01,56,WY,WYOMING,90,179,3867
2011,2012,01,23,ME,MAINE,87,164,4759
2011,2012,01,30,MT,MONTANA,84,151,3114
2011,2012,01,33,NH,NEW HAMPSHIRE,78,141,3898
2011,2012,01,10,DE,DELAWARE,74,183,4034
2011,2012,01,46,SD,SOUTH DAKOTA,72,126,3436
2011,2012,01,38,ND,NORTH DAKOTA,58,108,2631
2011,2012,01,44,RI,RHODE ISLAND,51,115,1876
2011,2012,01,50,VT,VERMONT,40,63,2001
2011,2012,02,96,AK,AK Total Migration US and Foreign,18130,34228,742719
2011,2012,02,97,AK,AK Total Migration US,17417,32832,712778
2011,2012,02,98,AK,AK Total Migration Foreign,713,1396,29941
2011,2012,02,02,AK,AK Non-migrants,258223,547464,18646593
2011,2012,02,12,FL,FLORIDA,1699,2424,53449
