y1_year,y2_year,y1_statefips,y2_statefips,y2_state,y2_state_name,n1,n2,AGI
2011,2012,01,96,AL,AL Total Migration US and Foreign,51971,107304,2109108
2011,2012,01,97,AL,AL Total Migration US,50940,105006,2059642
2011,2012,01,98,AL,AL Total Migration Foreign,1031,2298,49465
2011,2012,01,01,AL,AL Non-migrants,1584665,3603439,87222478
2011,2012,01,13,GA,GEORGIA,9920,19470,329213
2011,2012,01,12,FL,FLORIDA,7550,14398,296043
2011,2012,01,47,TN,TENNESSEE,4237,9014,180439
2011,2012,01,48,TX,TEXAS,4121,8950,177351
2011,2012,01,28,MS,MISSISSIPPI,2868,6433,106796
2011,2012,01,06,CA,CALIFORNIA,1902,3593,80336
2011,2012,01,37,NC,NORTH CAROLINA,1881,4010,79090
2011,2012,01,22,LA,LOUISIANA,1514,3210,64656
2011,2012,01,51,VA,VIRGINIA,1378,2990,74722
2011,2012,01,45,SC,SOUTH CAROLINA,1096,2538,61022
2011,2012,01,57,FR,Foreign,1031,2298,49465
2011,2012,01,17,IL,ILLINOIS,979,2126,38224
2011,2012,01,26,MI,MICHIGAN,976,1946,33224
2011,2012,01,39,OH,OHIO,955,1995,38206
2011,2012,01,36,NY,NEW YORK,924,1744,35229
2011,2012,01,21,KY,KENTUCKY,829,1891,36402
2011,2012,01,08,CO,COLORADO,725,1489,37232
2011,2012,01,53,WA,WASHINGTON,718,1617,34658
2011,2012,01,18,IN,INDIANA,707,1545,23747
2011,2012,01,29,MO,MISSOURI,629,1297,22810
2011,2012,01,42,PA,PENNSYLVANIA,572,1150,26202
2011,2012,01,04,AZ,ARIZONA,548,1121,24245
2011,2012,01,24,MD,MARYLAND,531,1039,25979
2011,2012,01,05,AR,ARKANSAS,494,1123,22667
2011,2012,01,40,OK,OKLAHOMA,470,1083,19193
2011,2012,01,20,KS,KANSAS,424,1029,17875
2011,2012,01,32,NV,NEVADA,331,563,18510
2011,2012,01,25,MA,MASSACHUSETTS,328,595,13109
2011,2012,01,55,WI,WISCONSIN,309,722,13449
2011,2012,01,34,NJ,NEW JERSEY,286,575,11648
2011,2012,01,27,MN,MINNESOTA,214,430,8834
2011,2012,01,41,OR,OREGON,213,431,8961
2011,2012,01,15,HI,HAWAII,212,485,10166
2011,2012,01,19,IA,IOWA,212,475,8642
2011,2012,01,02,AK,ALASKA,201,456,8516
2011,2012,01,35,NM,NEW MEXICO,193,395,8701
2011,2012,01,49,UT,UTAH,184,446,8976
2011,2012,01,31,NE,NEBRASKA,173,452,6919
2011,2012,01,54,WV,WEST VIRGINIA,166,354,6093
2011,2012,01,09,CT,CONNECTICUT,148,280,6520
2011,2012,01,56,WY,WYOMING,121,220,5274
2011,2012,01,16,ID,IDAHO,90,188,3706
2011,2012,01,11,DC,DISTRICT OF COLUMBIA,89,131,4499
2011,2012,01,46,SD,SOUTH DAKOTA,79,149,2488
2011,2012,01,33,NH,NEW HAMPSHIRE,78,146,3794
2011,2012,01,30,MT,MONTANA,77,141,2866
2011,2012,01,38,ND,NORTH DAKOTA,75,168,3239
2011,2012,01,23,ME,MAINE,70,131,3084
2011,2012,01,10,DE,DELAWARE,60,118,2567
2011,2012,01,44,RI,RHODE ISLAND,49,95,2289
2011,2012,01,50,VT,VERMONT,34,59,1229
2011,2012,02,96,AK,AK Total Migration US and Foreign,19446,38204,978632
2011,2012,02,97,AK,AK Total Migration US,18811,36955,950156
2011,2012,02,98,AK,AK Total Migration Foreign,635,1249,28477
2011,2012,02,02,AK,AK Non-migrants,258223,547464,18646593
2011,2012,02,53,WA,WASHINGTON,2045,3809,113398
2011,2012,02,48,TX,TEXAS,1642,3619,111067
2011,2012,02,06,CA,CALIFORNIA,1635,3084,73670
2011,2012,02,12,FL,FLORIDA,1270,2165,54539
2011,2012,02,41,OR,OREGON,906,1617,45162
2011,2012,02,04,AZ,ARIZONA,866,1670,51737
2011,2012,02,08,CO,COLORADO,746,1442,40445
2011,2012,02,57,FR,Foreign,635,1249,28477
2011,2012,02,13,GA,GEORGIA,504,1050,19723
2011,2012,02,16,ID,IDAHO,494,1057,25658
2011,2012,02,37,NC,NORTH CAROLINA,485,1097,21487
2011,2012,02,32,NV,NEVADA,485,889,27618
2011,2012,02,36,NY,NEW YORK,436,760,16328
2011,2012,02,15,HI,HAWAII,391,790,16974
2011,2012,02,51,VA,VIRGINIA,380,867,19505
2011,2012,02,49,UT,UTAH,338,775,19356
2011,2012,02,26,MI,MICHIGAN,333,630,15379
2011,2012,02,30,MT,MONTANA,332,628,19387
2011,2012,02,27,MN,MINNESOTA,320,578,16593
2011,2012,02,42,PA,PENNSYLVANIA,317,556,12827
2011,2012,02,29,MO,MISSOURI,293,640,12757
2011,2012,02,22,LA,LOUISIANA,277,542,11006
2011,2012,02,39,OH,OHIO,275,518,11320
2011,2012,02,35,NM,NEW MEXICO,268,540,13559
