"CIT","MMDS","Learning Data Science","Python Data Science Handbook","ISL","Data Feminism","Practical Data Ethics","FDV","CIML","Data Science Foundations with Python (ZyBooks)"
"Data science and causality","Data mining overview","Data science lifecycle; Questions and data scope","","Statistical learning overview","Introduction: why data science needs feminism","","","","Introduction to Data Science"
"Python programming basics","","","","","","","","","Python for Data Science"
"Tables","","Rectangular data","Pandas","","","","","","Python for Data Science; Data Wrangling"
"Visualization","","Data visualization","Matplotlib","","","","Visualizing amounts; Visualizing distributions; Visualizing many distributions; Visualizing associations; Visualizing time series","", "Data Visualization"
"Randomness and sampling","Mining data streams","Questions and data scope","","","","","","","Probability and Statistics"
"Hypothesis testing","","Statistical inference","","Multiple testing","","","","","Probability and Statistics"
"Comparing two samples","","Statistical inference","","","","","","","Probability and Statistics"
"Estimation","","Modeling and estimation; Statistical inference","","Resampling methods","","","Visualizing uncertainty","","Probability and Statistics; Evaluating Model Performance"
"The mean and spread","","Exploratory data analysis","","","","","","","Probability and Statistics"
"Prediction and regression","","Modeling and estimation; Linear models","Scikit-Learn","Linear regression","","","","Linear models","Regression"
"Inference for regression","","Linear models","","Linear regression","","","","","Regression"
"Classification","","Classification","Scikit-Learn","Classification","","","","Beyond binary classification; Linear models","Regression; Supervised Learning"
"[extra] data science lifecycle and scope","","Data science lifecycle; Questions and data scope","","","","","","","Introduction to Data Science"
"[extra] data wrangling and cleaning","","Data wrangling","Pandas","","","","","Practical issues","Data Wrangling"
"[extra] text processing","","Working with text","","","","","","",""
"[extra] web data and APIs","","Working with the web and APIs","","","","","","",""
"[extra] SQL and relational databases","","SQL and relational databases","","","","","","","SQL for Data Science"
"[extra] exploratory data analysis and outliers","","Exploratory data analysis","","","","","Common visualization pitfalls","","Data Visualization"
"[extra] feature engineering and preprocessing","","Feature engineering","Scikit-Learn","","","","","Practical issues","Data Wrangling; Evaluating Model Performance"
"[extra] model evaluation and resampling","","Prediction and overfitting","Scikit-Learn","Resampling methods","","","","Bias-variance tradeoff","Evaluating Model Performance"
"[extra] decision trees","","","Scikit-Learn","Tree-based methods","","","","Decision trees","Decision Trees"
"[extra] regularization and model selection","","","Scikit-Learn","Linear model selection and regularization","","","","Linear models",""
"[extra] nonlinear models","","","","Moving beyond linearity","","","","",""
"[extra] support vector machines and kernels","","","Scikit-Learn","Support vector machines","","","","Linear models; Kernel methods","Supervised Learning"
"[extra] probabilistic classification","","","Scikit-Learn","Classification","","","","Probabilistic modeling","Supervised Learning"
"[extra] unsupervised learning","Clustering","","Scikit-Learn","Unsupervised learning","","","","Unsupervised learning","Unsupervised Learning"
"[extra] dimensionality reduction","Dimensionality reduction","","Scikit-Learn","Unsupervised learning","","","Visualizing associations","Unsupervised learning","Unsupervised Learning"
"[extra] ensemble methods","Large-scale machine learning","","Scikit-Learn","Tree-based methods","","","","Ensemble methods","Ensemble Techniques; Decision Trees"
"[extra] neural networks and deep learning","Neural networks and deep learning","","","Deep learning","","","","Neural networks","Artificial Neural Networks"
"[extra] learning theory","","","","","","","","Learning theory",""
"[extra] structured prediction","","","","","","","","Structured prediction",""
"[extra] large-scale computing","MapReduce and the new software stack","","","","","","","",""
"[extra] similarity search","Finding similar items","","","","","","","",""
"[extra] link analysis and web graphs","Link analysis","","","","","","","",""
"[extra] frequent itemsets","Frequent itemsets","","","","","","","",""
"[extra] recommendation systems","Recommendation systems","","","","","","","",""
"[extra] social-network graphs","Mining social-network graphs","","","","","","","",""
"[extra] online advertising","Advertising on the web","","","","","","","",""
"[extra] notebooks and numerical arrays","","","IPython and Jupyter; NumPy","","","","","","Python for Data Science"
"[extra] visualization of proportions and hierarchies","","","","","","","Visualizing proportions; Visualizing nested proportions","",""
"[extra] geospatial visualization","","","","","","","Visualizing geospatial data","",""
"[extra] visualization design, color, and storytelling","","","","","","","Color in visualization; Figure design principles; Telling a story with data","",""
"[extra] data ethics, power, and justice","","","","","Introduction: why data science needs feminism; Examine power; Challenge power; Consider context; Conclusion: toward data feminism in practice","Bias and fairness; Ethical foundations and practical tools","","","Introduction to Data Science; Artificial Intelligence"
"[extra] privacy, surveillance, and disinformation","","","","","","Disinformation; Privacy and surveillance","","","Artificial Intelligence"
"[extra] pluralism, labor, and participatory data","","","","","Elevate emotion and embodiment; Rethink binaries and hierarchies; Embrace pluralism; Make labor visible","","","",""
"[extra] AI applications and generative AI","","","","","","","","","Artificial Intelligence"
