url,path,content_type,status
https://web.stanford.edu/class/archive/cs/cs109/cs109.1166/pdfs/02 Counting.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1166/pdfs/03 CalculationRef.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1166/pdfs/05 Combinatorics.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1166/pdfs/06 Probability.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1166/pdfs/07 CondProbability.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1166/pdfs/08 Independence.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1166/pdfs/10 Random Variables.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1166/pdfs/11 Variance.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1166/pdfs/12 Poisson.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1166/pdfs/13 Continuous.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1166/pdfs/16 Gaussian.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1166/pdfs/17 StandardNormalTable.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1166/pdfs/18 Joint.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1166/pdfs/19 MoreJointProperties.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1166/pdfs/20 ConvolutionAndConditional.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1166/pdfs/22 Beta.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1166/pdfs/27 VarianceFromEvents.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1166/pdfs/28 CovarianceAndSamples.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1166/pdfs/29 Correlation.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1166/pdfs/30 CondExpectation.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1166/pdfs/31 CentralTheorems.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1166/pdfs/34 ParameterEstimation.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1166/pdfs/35 MaximumLikelihood.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1166/pdfs/37 MaximumAPosteriori.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1166/pdfs/39 NaiveBayes.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1166/pdfs/40 LogisticRegression.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1166/pdfs/41 DeepLearning.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1166/pdfs/04 ProblemSet1.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1166/pdfs/09 ProblemSet2.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1166/pdfs/15 ProblemSet3.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1166/pdfs/23 ProblemSet4.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1166/pdfs/32 ProblemSet5.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1166/pdfs/38 ProblemSet6.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1166/pdfs/01 Administrivia.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1166/pdfs/21 PracticeMidterm.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1166/pdfs/24 PracticeMidtermSoln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1166/pdfs/26 MidtermReviewSession.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1166/pdfs/25 Notation.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1166/pdfs/42 PracticeFinal.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1166/pdfs/43 PracticeFinalSoln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1166/stuff/intro.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/pdfs/02 Counting.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/lectureHandouts/2 Combinatorics.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/lectureHandouts/3 Probability.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/lectureHandouts/4 Conditional Probability.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/lectureHandouts/5 Independence.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/lectureHandouts/6 Random Variables.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/lectureHandouts/7 Variance.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/lectureHandouts/8 More Discrete.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/lectureHandouts/9 Continuous Variables.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/lectureHandouts/10 Gauss.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/lectureHandouts/11 Exponential and Joint.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/lectureHandouts/12 Continuous and Multinomial Joint.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/lectureHandouts/13 Properties of Joint Distributions.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/lectureHandouts/14 Convolution and Conditional.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/lectureHandouts/15 Beta.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/lectureHandouts/16 Great Expectations.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/lectureHandouts/17 Covariance and Correlation.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/lectureHandouts/18 Samples and Bootstrap.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/lectureHandouts/19 CLT.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/lectureHandouts/20 MLE.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/lectureHandouts/21 MAP.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/lectureHandouts/22 Naive Bayes.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/lectureHandouts/23 Logistic Regression.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/lectureHandouts/24 Deep Learning.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/restricted/ProblemSet1Soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/restricted/ProblemSet2Soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/restricted/ProblemSet3Soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/restricted/ProblemSet4Soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/restricted/ProblemSet5Soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/restricted/ProblemSet6Soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/pdfs/04 ProblemSet1.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/pdfs/01 Administrivia.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/pdfs/03 CalculationRef.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/lectures/5a-PythonTut.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/pdfs/17 StandardNormalTable.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/pdfs/25 Notation.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/pdfs/PracticeMidterm.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/pdfs/PracticeMidtermSoln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/pdfs/Extra Problems 1.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/pdfs/Extra Problems 1 Soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/pdfs/Extra Problems 2.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1176/pdfs/Extra Problems 2 Soln.pdf,,,listed
