Week,Class Day,Topic,Before Class,In Class
1,Monday,Course introduction; statistics review,,
1,Wednesday,Data science lifecycle,,
2,Monday,Python foundations; dataframes and Polars,,
2,Wednesday,Obtaining data,,
3,Monday,Wrangling data; filtering data,,
3,Wednesday,Data formats,,
4,Monday,Exploratory analysis,,
4,Wednesday,Descriptive statistics,,
5,Monday,Visualization,,
5,Wednesday,Visualization,,
6,Monday,Visualization,,
6,Wednesday,Visualization,,
7,Monday,Hypothesis testing,,
7,Wednesday,Estimation and sampling; randomness,,
8,Monday,Linear regression,,
8,Wednesday,Intro to classification,,
9,Monday,Decision trees,,
9,Wednesday,Support vector machines; kernels,,
10,Monday,Clustering; principal component analysis,,
10,Wednesday,Model evaluation,,
11,Monday,Recommendation systems,,
11,Wednesday,A/B testing,,
12,Monday,Network analysis,,
12,Wednesday,Graphs and relationships; network measures,,
13,Monday,TBD,,
13,Wednesday,TBD,,
14,Monday,Presentations,,
14,Wednesday,Presentations,,
15,Monday,Presentations,,
15,Wednesday,Presentations,,
